"","ASV","YSI","rASV","rYSI","means"
"0186721046",1.25049263345113,2219,888,1331,236.773693840313
"0187021016",1.09625190511356,1007,742,265,253.187715518221
"0187021018",1.73443954273488,2558,1210,1348,236.432885941397
"0187021022",0.464852019352673,396,196,200,254.267995649974
"0187021037",1.69734751528423,2531,1194,1337,236.650706847367
"0187021048",0.754281160363799,1226,430,796,246.007987458815
"0187321007",0.468259583629147,1261,199,1062,242.221414739788
"0187321012",2.80601964264757,2829,1504,1325,237.004590291155
"0187321013",2.71208863607116,2887,1486,1401,234.341326115449
"0187321014",1.14474597603347,1681,793,888,244.72626494822
"0187321015",1.88908464513764,2623,1260,1363,235.899777594524
"0187521022",3.9681393464963,1809,1591,218,253.853512295112
"0187521033",1.80416432237002,1744,1238,506,249.84829860542
"0187521041",2.82593893139292,2298,1510,788,246.112066492292
"0187521049",1.64589911949406,1505,1166,339,251.87799009328
"0189121007",1.11271075615421,1333,761,572,249.07008256887
"0189121032",1.38344068569761,1933,994,939,243.946913577372
"0189121055",0.577103700021538,1296,290,1006,243.055280059652
"0189121056",0.860287940672285,820,524,296,252.760362270651
"0189121060",1.51628577212358,1496,1082,414,250.92740680328
"0190521001",1.55224949525205,1683,1104,579,249.011627041374
"0190521014",1.24613646309149,1289,882,407,250.997892859403
"0190521020",1.60088689153078,2166,1137,1029,242.656232475344
"0190521025",1.89349199943013,2618,1261,1357,236.14698879778
"0190521027",1.91381151828366,2015,1269,746,246.654392625974
"0190721001",0.373482841716955,1295,132,1163,240.564608142927
"0190721002",0.642369918329934,1189,343,846,245.331208318786
"0190721006",0.75344767859713,1265,428,837,245.517171676512
"0190721007",0.524244613545576,1319,247,1072,242.057672235378
"0190721036",0.837382541241056,1729,504,1225,239.336113813862
"0190921001",0.631287620666121,1034,334,700,247.321572487902
"0190921007",1.63386943814556,2152,1158,994,243.172631510671
"0190921016",0.912387196583602,1361,575,786,246.144623514035
"0190921026",0.385976895043231,345,144,201,254.257093531674
"0192421005",1.55558321528306,1815,1108,707,247.221232105279
"0192421007",0.634263931579329,450,335,115,255.974913705263
"0192421009",1.62352808771843,1278,1152,126,255.770370049934
"0192421021",0.883293305860162,784,553,231,253.667244319766
"0192421033",0.514476844644636,260,238,22,260.421083213083
"0197521019",1.21374221019209,2355,848,1507,224.264967649841
"0197521025",2.2331856252332,2866,1370,1496,226.06794614346
"0197521028",1.46209690118951,2531,1046,1485,227.008754960185
"0197521044",1.58924494565547,2678,1130,1548,217.719308478763
"0197521052",1.4009984924187,2544,1013,1531,220.391719633965
"0198721011",1.85106424687203,2693,1251,1442,231.87812123029
"0198721031",0.753623053311177,638,429,209,254.046435122183
"0198721034",0.345467553290981,1699,113,1586,203.361519161658
"0198721042",1.01261066188243,1650,665,985,243.277644972482
"0199221006",1.28626488503734,2495,913,1582,206.201339238259
"0199221008",1.23738494758995,2341,873,1468,229.10824344349
"0199221012",0.480901668098127,1729,208,1521,223.163836697455
"0199221026",0.491730974557051,1393,217,1176,240.399215325005
"0199221083",0.836127252230097,1922,502,1420,233.438235727444
"0199421014",1.07728489262196,1766,718,1048,242.440862972745
"0199421015",0.736081879003977,1590,411,1179,240.30178015986
"0199421020",1.17977960409484,2258,822,1436,232.39713353488
"0199421022",1.71908861902019,2424,1204,1220,239.42705246626
"0200521003",0.286154194680203,969,84,885,244.80781162531
"0200521005",0.667004323705361,1360,360,1000,243.097194441567
"0200521007",0.553852334769718,1799,277,1522,222.472814909239
"0200521008",2.90993656570725,3058,1524,1534,219.661088240668
"0200521010",0.151440317803547,843,22,821,245.757147924814
"0204621002",1.91639772966637,2846,1270,1576,209.010857641016
"0204621003",1.17201506292681,2350,817,1533,219.694721346743
"0204621006",1.08187857391984,851,723,128,255.681804290052
"0204621010",4.25785015323485,3171,1597,1574,209.261566584838
"0204621013",1.14205173395248,2319,790,1529,220.68698220011
"0205021005",1.12805455832139,1202,779,423,250.811042325163
"0205021046",1.29455449559055,1625,920,705,247.258075454075
"0205021051",0.970044596810911,720,625,95,256.659065633646
"0205021054",1.38474952750567,1741,997,744,246.684479995517
"0206221001",2.78722598349676,2930,1498,1432,232.660694742191
