"","ASV","YSI","rASV","rYSI","means"
"0003841008",0.0352514599532251,1771,48,1723,160.553768654667
"0003841014",2.11670287695761,3078,2083,995,171.679545558465
"0003841017",0.906897267552893,1795,1194,601,177.140186798453
"0003841020",0.834860140889701,2740,1107,1633,162.443124587311
"0003841027",0.907471169041331,3306,1195,2111,141.728103368042
"0005041004",0.24452657771988,267,245,22,198.403613274893
"0005041009",2.4745074088332,3295,2139,1156,169.55986490366
"0005041016",1.37638693054993,3188,1685,1503,164.753769366014
"0005041017",0.221491101962104,1260,218,1042,171.031501746882
"0005041033",0.985113210720689,1512,1297,215,185.634860085785
"0007341014",0.218227388500336,1865,214,1651,162.185117624007
"0007341022",0.359357953397266,1464,378,1086,170.477934738882
"0007341031",0.502945079760997,2305,613,1692,161.269007150302
"0007341035",0.598982438093783,2023,745,1278,167.690379115097
"0007341049",1.57472388777819,2716,1854,862,173.3721090641
"0011021002",0.178847344549539,349,166,183,186.6696006775
"0011021021",0.832763054876392,2708,1101,1607,162.830494236912
"0011021044",0.278161422102565,953,276,677,175.951098710507
"0011021048",0.89900125977308,3150,1180,1970,152.583222471224
"0011221016",1.54193219440009,2070,1830,240,184.757119049672
"0011221025",2.20047967804916,3098,2107,991,171.75082458734
"0011221029",1.64210858730937,2993,1888,1105,170.219384671327
"0011221045",0.669100846223429,1714,848,866,173.303874587339
"0011221046",1.49922735283241,2101,1797,304,183.029319411381
"0011421008",1.34977602422034,2409,1659,750,174.77994645918
"0011421022",0.147392192470268,201,128,73,192.550366225396
"0011421024",0.96553785604973,3151,1269,1882,156.475986025658
"0011421027",0.138851250814896,1525,121,1404,166.140728130165
"0011421052",0.0936279564038781,1091,81,1010,171.480491543279
"0012621023",1.45328658544968,2800,1752,1048,170.983179067404
"0012621024",0.96693187156503,3145,1274,1871,156.695894882403
"0012621029",0.731898683303993,3022,936,2086,145.123048590043
"0012621073",0.50874557882649,1924,619,1305,167.30890173361
"0012621074",0.511487300722855,1157,623,534,178.377895289841
"0013721007",5.34085412766368e-13,1960,26,1934,154.361583990914
"0013721013",5.48924877284329e-13,2144,27,2117,141.395410541234
"0013721019",1.41040147450953,2088,1719,369,181.33463496594
"0013721075",1.52278285870302,3914,1816,2098,143.550248740404
"0013721080",0.0211731297638604,1511,44,1467,165.233014065728
"0017721035",0.550243305346487,1727,672,1055,170.898745245891
"0017721041",1.56100431600216,2747,1844,903,172.856042970214
"0017721049",2.03879557673279,3749,2062,1687,161.348780774972
"0017721050",0.381833545538231,1930,407,1523,164.291953602448
"0017721052",4.08277049393102,3349,2195,1154,169.570782643086
"0018021002",1.02889628150522,1625,1341,284,183.648049727188
"0018021004",0.338224535039165,578,348,230,185.007393965602
"0018021027",0.407715174949086,2188,448,1740,160.178646159124
"0018021045",1.39922735253762,2749,1709,1040,171.034789817933
"0018021046",0.492061967567895,1158,586,572,177.540632282769
"0019021004",0.817948056682777,2420,1080,1340,166.819337352551
"0019021017",0.816469646359028,3078,1078,2000,151.039310611008
"0019021029",0.987891965076892,2438,1301,1137,169.743920353139
"0019021033",1.23502661150438,2445,1546,899,172.890240329368
"0019021038",1.15410436330496,2155,1463,692,175.751793958578
"0019421009",0.631436877047205,1212,789,423,180.314940063813
"0019421016",0.787890555042149,2755,1030,1725,160.512982829689
"0019421027",1.77753301111121,3979,1952,2027,149.408532440094
"0019421029",0.748202412959505,1841,961,880,173.13161111271
"0019421030",0.433145321093693,2482,489,1993,151.515886450303
"0022821001",1.30040202089734,2774,1612,1162,169.48147527243
"0022821002",3.36475566371586,2616,2190,426,180.273747323809
"0022821004",0.586362074179668,768,730,38,195.58522456579
"0022821017",0.708651650810114,1528,897,631,176.617350842301
"0022821031",0.740377458246851,1770,948,822,173.791276750044
"0028421003",0.238253695865569,1696,235,1461,165.306902664825
"0028421008",0.892542834894637,2793,1175,1618,162.61347490265
"0028421019",0.567947849006534,880,704,176,186.938347631108
"0028421026",1.14880620173223,1942,1455,487,179.260815928353
"0028421027",0.345682588101269,1058,357,701,175.63186043311
"0028721006",0.646186052437728,2699,819,1880,156.517994768391
"0028721009",0.0135560723857494,2193,42,2151,133.444780889593
"0028721010",0.317625247113174,1826,322,1504,164.743588404854
"0028721011",1.93118409854896,3092,2019,1073,170.669035026455
"0028721015",1.23598021580956,3292,1548,1744,160.120707410588
"0028921005",0.278018973889764,2432,275,2157,130.338978682314
"0028921023",0.466756584115945,2578,539,2039,148.872060357153
"0028921032",0.501566183007976,1512,607,905,172.835575901175
"0028921038",0.377116002612437,2410,395,2015,149.99083642481
"0028921039",0.746993782409801,3098,957,2141,136.225206995874
"0030021064",1.15274949898904,1628,1462,166,187.558413538559
"0030021065",0.365732460676748,1867,383,1484,164.956876752613
"0030021069",1.08211926099045,3025,1389,1636,162.407749771115
"0030021070",1.39850629266523,2386,1708,678,175.94518770494
"0030021074",0.20854099076777,257,196,61,193.667975402216
"0030321024",0.322007809302521,2297,328,1969,152.606078574633
"0030321026",0.495706241331182,2704,592,2112,141.723376932957
"0030321027",0.358273546364033,2351,376,1975,152.435502108952
"0030321042",0.91685297001735,3180,1209,1971,152.554044895916
"0030321057",0.834236033066183,3192,1105,2087,145.067068458197
"0030821002",0.100881443619927,2225,91,2134,137.516208203059
"0030821003",2.1058934204861,3847,2080,1767,159.54695138776
"0030821011",0.765424256969235,1214,990,224,185.197060155346
"0030821034",2.16086231937185,3900,2096,1804,158.510799492565
"0030821036",0.722949568043365,1282,918,364,181.437610278969
"0031221003",0.0565624521477442,2064,59,2005,150.742377010048
"0031221016",1.30813013893828,2455,1618,837,173.602774504067
"0031221032",0.555731032825446,1690,682,1008,171.505199245313
"0031221033",0.114300280461623,1393,103,1290,167.465496717264
"0031221042",1.02410968756015,2158,1334,824,173.770035948012
"0032421006",0.944729106051183,2069,1238,831,173.705086482696
"0032421008",1.22858694627126,3545,1541,2004,150.748356917382
"0032421010",0.141843844313211,552,124,428,180.228442262526
"0032421017",0.436222176209563,1576,495,1081,170.593905424064
"0032421037",0.354457817565083,2158,370,1788,158.874555620876
"0033141005",1.40148401336692,1928,1711,217,185.611171099866
"0033141011",1.71072300692893,3367,1921,1446,165.477415058127
"0033141012",5.31330010627422e-13,286,25,261,184.111503239173
"0033141027",0.234034488142441,2078,226,1852,157.243554327138
"0033141033",0.998209523274198,3198,1306,1892,155.946069172816
"0034441004",1.52761945242271,2057,1821,236,184.854927121598
"0034441008",0.165251921139082,338,142,196,186.371390193853
"0034441036",0.108065294558452,300,100,200,186.250198628755
"0034441069",1.47572677553917,2054,1774,280,183.69347162653
"0034441076",0.787502955964159,1390,1029,361,181.497448214525
"0039941039",3.59487081807514e-13,276,8,268,183.835507759584
"0039941048",0.462390046972842,1036,531,505,178.955285482263
"0039941049",1.20670875280578e-12,2229,33,2196,38.4021512379104
"0039941060",5.92272578576052e-13,348,30,318,182.535507759596
"0040841015",1.06142382167209,3472,1367,2105,142.605374783292
"0040841034",0.877119697584446,1893,1152,741,174.895654978653
"0040841041",1.29410776127196,2540,1606,934,172.508648849536
