"","ASV","YSI","rASV","rYSI","means"
"0040841069",0.500805293250123,1351,602,749,174.784066641863
"0040841072",1.92218656660348,3862,2016,1846,157.354227245845
"0040941001",0.897335694219694,1268,1179,89,191.877027693062
"0040941014",0.762014130619429,2242,982,1260,168.010007466587
"0040941022",1.18506709085312,2559,1495,1064,170.794992515031
"0040941026",0.334561649482376,1516,340,1176,169.343555792206
"0040941043",1.05381139442697,2122,1359,763,174.643009830004
"0045641014",0.769133418305034,1646,995,651,176.358117926219
"0045641021",0.922878644178774,2138,1216,922,172.612795380923
"0045641027",0.504336182491969,657,614,43,194.823305326673
"0045641040",0.747635611551171,1504,958,546,178.080863026465
"0045641044",0.841278899151254,1480,1115,365,181.430567501734
"0050041001",0.306452640026115,892,313,579,177.466069446629
"0050041016",1.52130306838055,3809,1813,1996,151.239349598248
"0050041018",1.24787319731746,3403,1558,1845,157.399083836393
"0050041022",2.79417355485029,2348,2170,178,186.926021535328
"0050041029",1.28333965911264,3334,1597,1737,160.21555687944
"0052941007",2.05126055197876,3265,2067,1198,168.957098264271
"0052941009",1.41929451597655,2394,1728,666,176.093953277826
"0052941021",2.01855773770774,2857,2054,803,174.047618063749
"0053641021",0.562333387915192,1694,694,1000,171.611366266015
"0053641022",1.41042933395038,2045,1720,325,182.368460164828
"0053641026",1.29758575249783,2519,1609,910,172.761710211373
"0053641055",0.149833503844464,274,132,142,188.737718917624
"0055641048",0.807950231014041,3217,1063,2154,132.818500728525
"0055641053",0.571124522979726,2884,708,2176,124.819070725465
"0055641067",0.368300347652774,2465,389,2076,146.144821972532
"0055641071",0.881730488287074,1948,1159,789,174.210907499302
"0055641074",2.71859376941403,2770,2162,608,176.961051708177
"0056941006",1.1501152892087,1839,1459,380,181.136981956098
"0056941026",0.975479265867959,1634,1282,352,181.717097533054
"0056941032",2.12186749522901,3669,2085,1584,163.269916295916
"0056941040",0.956571971297172,1467,1253,214,185.652296844588
"0060041002",0.0978614572008135,287,84,203,186.122105286939
"0060041010",1.75105004604407,2249,1940,309,182.732330848963
"0060041021",1.31111749306882,3370,1622,1748,160.032981873546
"0060041031",2.59915575043486,2295,2152,143,188.706139568104
"0060041033",0.448609658307898,1585,509,1076,170.66302398642
"0060341036",0.140198542883081,527,122,405,180.636415725999
"0060341048",0.43528320368861,1520,492,1028,171.22674428315
"0060341050",1.04456149259798,2862,1353,1509,164.659439513836
"0060341053",0.860805297334071,1724,1139,585,177.351398512275
"0060341059",0.46530600079313,886,535,351,181.71768506827
"0060641013",3.94996503509804e-13,140,10,130,189.362376256775
"0060641020",0.908077407594878,2600,1197,1403,166.144171284684
"0060641028",1.28287495558951,3439,1596,1843,157.417584622498
"0060641033",0.534581446394313,972,656,316,182.583964228307
"0065221010",0.237682848022053,2424,234,2190,91.0931779995718
"0065221014",0.945292525229225,2106,1239,867,173.278445047352
"0065221015",0.60530916250902,1035,754,281,183.690806290952
"0065221016",0.720845186268512,2586,915,1671,161.677631804951
"0065521002",1.33667045514809,2518,1646,872,173.233072971011
"0065521017",0.377245541363795,1197,396,801,174.072753304612
"0065521045",1.36759168304672,2520,1674,846,173.515015550556
"0065521051",1.00320599521145,3238,1315,1923,154.861778560621
"0065721003",0.29011621927061,2226,295,1931,154.528566884291
"0065721004",0.256812662580207,1307,256,1051,170.951528154054
"0065721006",1.67646274442864,2975,1907,1068,170.715150641626
"0065721007",0.892441880106055,1954,1174,780,174.330711226318
"0065721008",0.96995461715696,2399,1277,1122,169.969058566672
"0065921009",0.446768981214533,884,503,381,181.111685192799
"0065921022",1.96926550534601,3260,2039,1221,168.664618326018
"0065921026",0.737956851451001,1830,944,886,173.0151798347
"0065921027",0.35201377358198,2082,367,1715,160.690739149132
"0065921029",0.339442804664289,1346,352,994,171.680040068765
"0068721001",1.84441751499732,2514,1988,526,178.517288389499
"0068721011",3.23055219822196,3694,2187,1507,164.696249184848
"0068721014",2.98799186999164,3508,2180,1328,166.979714717704
"0068721036",0.789303984914381,1471,1032,439,180.106655087762
"0068721041",0.543993272516137,1061,665,396,180.779586262946
"0069021011",0.718032829042053,2464,912,1552,163.910105286937
"0069021019",3.97016751654321e-13,2198,11,2187,102.502151237937
"0069021033",4.26235872288847e-13,68,17,51,194.301583990906
"0069021089",4.97593798987418e-13,2023,20,2003,150.750410541234
"0069821012",2.15269783388743,3762,2094,1668,161.713058696464
"0069821015",0.342679907896428,685,356,329,182.308221585073
"0069821034",0.954898803461299,2455,1251,1204,168.882693313971
"0069821039",0.838467798454061,1546,1113,433,180.158870118438
"0069821052",2.05935210999281,3600,2071,1529,164.267785054065
"0070021011",1.28174357403788,1872,1595,277,183.704134868347
"0070021017",1.78492027846253,3816,1958,1858,157.002756616136
"0070021030",0.61352538755436,2294,760,1534,164.207714882339
"0070021084",0.393574981193554,2466,429,2037,148.997878162406
"0070021085",0.900553055121717,3247,1184,2063,147.24008196051
"0071821005",0.962009100667142,1631,1264,367,181.383464028807
"0071821008",1.24256612192912,1883,1553,330,182.239560859686
"0071821011",1.19615435594383,2820,1504,1316,167.197431021874
"0071821018",1.23764599631743,1762,1550,212,185.679316035955
"0071821041",1.20218793671643,3354,1512,1842,157.437372270872
"0071921003",1.19553079555147,2161,1501,660,176.233249271264
"0071921010",0.731065979620307,2914,935,1979,152.325771896591
"0071921023",0.214771559853891,1830,207,1623,162.575888750778
"0071921032",0.850672422515095,2181,1124,1057,170.897034626968
"0072421055",2.02743069962037,2897,2056,841,173.552253686474
"0072421057",1.27192321563638,2924,1585,1339,166.862779826657
"0072421058",1.72526510021475,2503,1930,573,177.533013024211
"0072421064",0.581942353133182,2904,721,2183,116.304813200271
"0072421066",2.75603992422263,2193,2165,28,197.316493831225
"0072521006",0.0614826905847873,90,61,29,196.933244322708
"0072521007",0.763695489559881,2101,983,1118,170.014736690743
"0072521010",0.610437739472239,1355,758,597,177.196332178538
"0072521011",1.38175466493748,3002,1693,1309,167.272251648039
"0072521016",1.13980634338077,1956,1449,507,178.926715306642
"0073321011",0.977040362446491,3406,1283,2123,140.521680484029
"0073321016",0.321723300736436,1345,325,1020,171.332479684584
"0073321018",1.36635145010936,3238,1672,1566,163.629240085169
"0073321019",0.754704785928293,2606,968,1638,162.371415726002
"0073321022",1.11369527206978,2965,1418,1547,163.985849852446
"0075321006",0.733377641595466,3079,937,2142,136.168546244572
"0075321034",1.54282410503592,3136,1832,1304,167.312118107214
"0075321037",1.20204106991083,2419,1510,909,172.764356512925
"0075321046",1.33657760051058,1702,1645,57,193.976145502707
"0075321052",0.616672767149893,2318,767,1551,163.931469180245
"0075721013",0.285406723148054,2427,288,2139,136.526401872697
"0075721017",1.0164426669812,2995,1328,1667,161.724571712456
"0075721042",0.382886212229365,2550,410,2140,136.49535692042
"0075721095",1.81486103716616,3899,1974,1925,154.833772018944
"0075721102",0.0950829802919003,2135,83,2052,147.791980123846
"0076121004",1.44644556875855,1809,1746,63,193.586975022184
"0076121012",1.95632612887283,3820,2033,1787,158.898531541786
"0076121032",6.04636644244086e-13,36,31,5,213.235507759599
"0076121034",0.926362509241045,1418,1219,199,186.256519342002
"0076521011",2.6036425518977,3551,2153,1398,166.185292785097
"0076521036",1.50295132045705,1994,1799,195,186.416181663877
"0076521039",0.500435687592968,1576,600,976,171.970548051037
"0076521040",1.71938064727276,3314,1928,1386,166.289084636803
"0076521046",2.22122840795952,2838,2111,727,175.249537101782
"0077821030",0.347877808638226,1221,360,861,173.374356512925
"0077821032",0.934544849079704,3242,1228,2014,150.308136196806
"0077821048",0.212063837563515,352,203,149,188.333545086511
"0077821056",0.510322960132978,1165,621,544,178.17271240706
"0077821092",0.726457775280641,2373,925,1448,165.456738125845
"0078621049",0.171215542424735,1683,151,1532,164.216902354913
"0078621061",1.52631416606918,3343,1819,1524,164.289459748659
"0078621069",1.71318540525067,2595,1923,672,176.014582968106
"0078621071",0.904757953606721,2117,1192,925,172.591557688454
"0078621080",1.79676332112184,3669,1962,1707,160.840675539356
"0079221017",0.62574926233075,849,784,65,193.475622014704
"0079221069",1.49819856437884,3023,1795,1228,168.542896662949
"0079221077",1.15131505711737,1508,1460,48,194.38782853226
"0079221079",1.90327603310788,2922,2009,913,172.717088918477
"0079221082",0.338919774004349,961,350,611,176.866905772072
"0079921002",0.834185516251023,1816,1104,712,175.489601373429
"0079921015",0.958594452167014,2677,1256,1421,165.944965431929
"0079921017",0.977220355563737,1486,1284,202,186.132305177211
"0079921022",0.349354422685895,580,362,218,185.589727305007
"0079921024",1.15578976197723,3061,1465,1596,163.098488131949
"0082821003",0.990416028916701,2416,1302,1114,170.050545748582
"0082821005",0.349330338054016,1282,361,921,172.614399877013
"0082821009",1.94943894265145,2259,2028,231,184.996359722477
"0082821010",1.63915822326441,2828,1885,943,172.349638614987
"0082821014",1.08134721142072,2281,1386,895,172.932224765893
"0083321003",0.328691997302755,1188,333,855,173.424415107709
"0083321004",1.10151451698358,1803,1408,395,180.803109680084
"0083321009",1.7708631306544,2136,1948,188,186.583003626788
"0083321019",0.948845624068937,2656,1243,1413,165.9886420053
"0083321020",0.734122124373442,1227,940,287,183.576942481141
"0084441013",0.722136818418904,1062,916,146,188.466454704794
"0084441016",2.21543163830402,3968,2109,1859,156.9094604246
"0084441021",0.838092390272524,2189,1112,1077,170.640556969342
"0084441031",2.77896125543631,2715,2167,548,178.039377815988
"0084441039",1.22844404189246,3078,1539,1539,164.125404909936
"0084841001",1.08199639413908,2098,1388,710,175.511809360838
"0084841002",0.41126605315189,2156,458,1698,161.11355330684
"0084841017",0.3829244603338,1955,411,1544,164.02076745806
"0084841047",0.163875944978574,1520,140,1380,166.358233030457
"0084841059",1.2599631991321,3542,1575,1967,152.666637702012
"0087141021",0.209017102859494,953,198,755,174.747629662853
"0087141023",1.54465474219328,2731,1833,898,172.909082808361
"0087141025",0.262329145135562,615,261,354,181.603037374575
"0087141054",0.205579403929535,1636,193,1443,165.542844913057
"0087141059",0.392469948701164,1522,428,1094,170.338979912929
"0087341025",1.45937565894981,2458,1758,700,175.674267682334
"0087341031",0.841275002789664,1218,1114,104,190.882254977821
"0087341036",0.195077618437531,1050,180,870,173.242114222927
"0087341042",0.462484940659027,1558,532,1026,171.24828693578
"0087341043",0.757007686170565,1097,976,121,189.927661330441
"0090841023",3.26350536085335,2795,2188,607,176.969825077537
"0090841047",0.179753783171317,197,167,30,196.877305435012
"0090841048",1.47956279950747,2367,1776,591,177.278592924063
"0090841051",1.74797848429809,2068,1939,129,189.382545968188
"0090841052",0.645729821525235,2013,818,1195,168.980492125995
"0090941014",0.743140554714549,2277,952,1325,167.036088477007
"0090941030",1.19920958697273,2059,1507,552,177.943796357596
"0090941037",1.06750037174545,2474,1372,1102,170.253170744545
"0090941042",0.79858848374807,2681,1042,1639,162.358645531263
"0090941062",1.21327809953502,2319,1525,794,174.153735814163
"0096241014",0.0362244456016868,1735,49,1686,161.353580695319
"0096241015",0.422094375623378,1272,474,798,174.109008913406
"0096241016",0.561601420484246,2142,691,1451,165.393348928683
"0096241026",1.40271772495006,2597,1714,883,173.10928147213
"0096241031",0.85140695182988,2827,1126,1701,161.078019839726
"0098341084",0.000398689686318288,397,34,363,181.453014065749
"0098341087",4.03638545973653e-13,16,13,3,229.584444140613
"0099441012",0.0497504644592572,1034,57,977,171.966787363524
"0099441015",1.4501640925711,2168,1749,419,180.320923588705
"0099441017",1.86955889425338,2888,1997,891,172.984753795469
"0099441023",1.95431837474352,3101,2031,1070,170.686824304203
"0099441040",1.49471485667362,2263,1791,472,179.560306909536
"0102441004",0.449866618796012,1131,511,620,176.729365438777
"0102441010",0.676962855005926,1168,856,312,182.701631598015
"0102441012",0.395292849089979,1560,433,1127,169.930971855427
"0102441015",1.29452867488861,2087,1608,479,179.348573905258
"0102441017",0.274103351684534,985,269,716,175.412145901784
"0105341004",1.15873240726645,1593,1470,123,189.753211034944
"0105341009",1.28355636704811,2930,1598,1332,166.937963687528
"0105341011",0.655245705357315,1010,826,184,186.662346078533
"0105341017",1.29121548466012,1806,1602,204,186.032503607539
"0105341026",0.590070402785686,2099,737,1362,166.601189010336
"0105941003",0.760129154246095,2347,980,1367,166.567645640971
"0105941012",3.98159662173349e-13,114,12,102,190.917151237946
"0105941023",1.68070070845511,2326,1910,416,180.426900927677
"0105941040",0.25706485040011,2376,257,2119,141.160288897557
"0105941059",0.544845991432431,1434,666,768,174.560528115559
"0108941005",0.651330178237608,1122,825,297,183.272675332046
"0108941013",1.48152546653518,3072,1781,1291,167.464164010391
"0108941021",0.158122685125404,2295,136,2159,130.182535964983
"0108941042",0.501509362128534,1988,606,1382,166.354189891498
"0108941045",0.8027880623156,2014,1049,965,172.052939376362
"0115041006",2.33213710567526,3828,2124,1704,161.026047650062
"0115041010",1.99824622748281,2241,2048,193,186.440430484028
"0115041012",0.770872862613898,1191,999,192,186.440497514651
"0115041018",1.1145872583952,3129,1421,1708,160.835877917284
"0115041044",0.473340826780223,2651,550,2101,143.19182609444
"0115741002",0.220928483806236,302,217,85,191.972307488814
"0115741026",0.888399007518733,1841,1168,673,175.990131384372
"0115741038",1.07245866446765,2849,1377,1472,165.104502185448
"0115741041",0.932451779495363,3162,1226,1936,154.257896802072
"0115741058",0.465856114022858,2142,536,1606,162.830814565562
"0115841008",3.63108812271333e-13,2177,9,2168,127.862376256787
"0115841010",0.269410983865708,1867,268,1599,163.028138197628
"0115841024",1.37072722223507,1943,1680,263,184.003019839727
"0115841060",0.292750226505743,2331,296,2035,149.018431320387
"0115841065",0.979028612255978,1537,1287,250,184.267392932823
"0116041002",0.573858515471819,806,714,92,191.428738058842
"0116041021",1.71351793212641,3674,1924,1750,159.942596089793
"0116041025",1.42810385729291,1775,1736,39,195.485979115614
"0116041026",0.752959575610634,2828,966,1862,156.827223107325
"0116041028",0.959629713798677,3100,1260,1840,157.487880072139
"0119541001",0.448674859515688,1932,510,1422,165.936613206251
"0119541006",1.80799979596867,2076,1970,106,190.856038854616
"0119541012",2.55778949626291,4148,2149,1999,151.054041804886
"0119541017",0.656968089544582,1030,833,197,186.363705851836
"0119541018",0.774363890433342,2063,1004,1059,170.871733139744
"0121641053",0.215568749097244,985,209,776,174.394462313898
"0121641068",0.972921089735379,1601,1281,320,182.471108680003
"0121641078",1.17074986196606,1995,1481,514,178.814980701801
"0121641081",0.439789949905339,971,497,474,179.505145683571
"0121641087",0.429076720060164,1402,484,918,172.643861653278
"0125621001",0.796395195736092,1450,1038,412,180.485322458663
"0125621012",0.584947800134916,2583,728,1855,157.181208830559
"0125621020",0.891394915933955,2341,1172,1169,169.410949306544
"0125621025",0.180681808721771,517,169,348,181.830497111412
"0125621036",0.643309611200561,2979,813,2166,128.685020813051
"0127021001",0.128823858486695,1773,111,1662,161.808856953223
"0127021005",0.537460400001246,2317,658,1659,161.85037820712
"0127021019",2.67287375185684,2342,2160,182,186.68933073376
"0127021038",0.519064202812102,905,636,269,183.832477491376
"0127021045",0.812617366678234,2833,1072,1761,159.692538892855
"0129921001",0.687447212438957,1848,874,974,171.981437901354
"0129921006",0.954724005329867,1496,1250,246,184.406754385633
"0129921009",0.333560453977563,510,337,173,187.213596165665
"0129921025",0.341509132075287,505,354,151,188.23394657056
"0129921033",0.188344242164138,269,175,94,191.293674872556
"0130221019",1.8281862998646,3201,1981,1220,168.665528115557
"0130221020",0.274216000587863,1301,270,1031,171.172885041509
"0130221039",1.61848186344679,2371,1873,498,179.080556825643
"0130221046",1.10985496111532,2108,1413,695,175.717861515111
"0130221055",0.200775489258684,760,186,574,177.517461253393
"0132821008",0.013942082312285,1706,43,1663,161.802076044467
"0132821012",1.65366640093679,3605,1895,1710,160.797361448891
"0132821013",0.102601501619554,2255,93,2162,129.406381923365
"0132821014",0.00207906984699754,2198,37,2161,129.484614222923
"0132821018",0.27495210239309,2347,273,2074,146.387964257122
"0133721014",0.204707377668962,1247,191,1056,170.898404959416
"0133721015",0.86604871481129,1928,1144,784,174.284878999578
"0133721016",0.907706579274408,2952,1196,1756,159.839401459885
"0133721018",1.35443811627834,2131,1661,470,179.634158661986
"0133721019",1.88162637856249,2112,2001,111,190.574530288406
"0134421001",0.955366322048008,1439,1252,187,186.610654179928
"0134421003",1.3944169263537,3713,1703,2010,150.547845251508
"0134421004",0.260436433090374,1020,260,760,174.680594809641
"0134421029",0.135228784055322,363,115,248,184.288827165313
"0134421031",0.527008920657481,2378,646,1732,160.348152846508
"0134621004",0.95689915408813,3368,1254,2114,141.642782875192
"0134621008",0.99952934710899,2776,1307,1469,165.151396220133
"0134621023",0.855925185302606,2493,1136,1357,166.632839717704
"0134621037",1.99006784956332,2741,2043,698,175.704408075333
"0134621044",1.25971171540285,3151,1574,1577,163.43161715615
"0135821012",1.77759299938491,3367,1953,1414,165.986862238053
"0135821031",0.400678987981882,2097,439,1658,161.898262485045
"0135821039",0.137769323435668,1112,120,992,171.736560931998
"0135821049",0.529934796989072,1799,649,1150,169.621277835246
"0135821050",2.37026834157741,2868,2129,739,174.977464601689
"0138021006",1.89466543410703,2318,2004,314,182.626854880769
"0138021007",0.959066885429978,1277,1257,20,199.343799865151
"0138021008",1.22438800290394,3007,1534,1473,165.100381830703
"0138021039",0.521713645476182,794,639,155,187.919614268852
"0138021042",0.414701239057793,722,464,258,184.167137279666
"0138821008",1.08448719022215,2320,1390,930,172.55437954354
"0138821029",0.695833367103831,2734,884,1850,157.272975216333
"0138821038",0.19922917154807,1834,182,1652,162.145480941662
"0138821043",0.55253222190443,1785,677,1108,170.157796432457
"0138821049",1.3265850930668,2572,1635,937,172.485169372886
"0141321047",2.46018834284158,3403,2135,1268,167.924196629096
"0141321049",1.81832957186935,3665,1976,1689,161.332139123866
"0141321067",0.386452125338174,614,416,198,186.342979942146
"0141321073",0.61905351470479,1342,774,568,177.622106111778
"0141321080",0.980974076102696,2048,1290,758,174.708639928466
"0149721120",2.1627753239232,2879,2097,782,174.312430988572
"0149721122",1.08526519808504,2870,1391,1479,165.013543734422
"0149721127",0.130423165791534,1221,112,1109,170.143765741689
"0149721128",0.729564509443891,2952,928,2024,149.631384634454
"0149721144",0.214856359747162,362,208,154,187.92823687001
"0153321001",1.51677179357096,3122,1808,1314,167.208112639499
"0153321009",0.561749260892515,2740,692,2048,148.110227292631
"0153321014",0.0342525514174932,1175,47,1128,169.907290694433
"0153321034",1.24780388988111,3540,1557,1983,152.155276667975
"0153321036",0.76372315267976,2665,984,1681,161.439021740293
"0156421014",0.448089251859714,1378,507,871,173.239015251647
"0156421025",1.24892245945417,2060,1559,501,179.044328413285
"0156421026",0.556549865388525,851,683,168,187.467811885708
"0156421028",0.216054768759966,1504,211,1293,167.443510982883
"0156421047",1.175091484513,2931,1487,1444,165.499206808138
"0159821036",0.551915957366743,1836,675,1161,169.48498439852
"0159821039",0.234859964706137,2274,227,2047,148.112516536973
"0159821053",0.828710665869547,3263,1096,2167,128.455642377233
"0159821054",0.527810557922991,2147,648,1499,164.808618815596
"0159821059",2.10454986734875,3589,2078,1511,164.602601714573
"0160021002",0.464619127488004,540,533,7,210.654993437229
"0160021021",1.5722989152876,2393,1852,541,178.209587879383
"0160021027",1.25195230829963,3446,1563,1883,156.472422709136
"0160021034",1.92860365415737,3263,2018,1245,168.232733857109
"0160021047",0.355105038094113,413,371,42,195.057634046355
"0160521015",1.02349552933947,1850,1333,517,178.763499290348
"0160521025",0.706313430224279,2005,894,1111,170.116448493746
"0160521026",0.916065515663889,1944,1206,738,174.981518585697
"0160521041",2.02303878374073,3148,2055,1093,170.355742910022
"0160521042",1.70630201173025,3165,1919,1246,168.220826389222
"0160821001",1.53870574335133,3137,1826,1311,167.259450106947
"0160821007",0.104257871257764,722,95,627,176.631092100214
"0160821012",1.87833575860945,2551,2000,551,177.961554652227
"0160821015",0.410581852635813,817,455,362,181.477219087305
"0160821018",0.655836852950833,2869,828,2041,148.816535244365
"0161221013",1.47451069526925,2114,1773,341,181.976136292995
"0161221015",1.0603230605461,2742,1366,1376,166.399149224655
"0161221016",2.37324705678368,2568,2130,438,180.108036300411
"0161221021",0.304866570303945,313,309,4,218.962258789849
"0161221024",0.928315210816937,2034,1221,813,173.85359554414
"0161521001",1.21457208056785,2529,1526,1003,171.585652486075
"0161521002",0.226903870967459,1765,222,1543,164.033313240245
"0161521007",0.979511917005196,2803,1288,1515,164.475686975649
"0161521010",1.07864196978361,2618,1383,1235,168.383257190802
"0161521015",1.42697053717751,3764,1734,2030,149.310640871842
"0162721007",0.837840658476493,1477,1111,366,181.39449576576
"0162721010",1.42399263483284,2164,1732,432,180.174391400933
"0162721011",1.19275762389093,2734,1500,1234,168.385615411132
"0162721012",0.968854524391459,1933,1275,658,176.289324968747
"0162721022",0.346124227426072,367,359,8,209.51010505321
